number,value,datetime_start,datetime_complete,duration,params_eta,params_max_depth,params_subsample,state
32,0.6558526525404298,2025-08-04 14:21:28.219049,2025-08-04 14:21:29.639595,0 days 00:00:01.420546,0.06711431684622068,5,0.8248113168090216,COMPLETE
16,0.6558035007789134,2025-08-04 14:20:56.244777,2025-08-04 14:20:58.128015,0 days 00:00:01.883238,0.195507954884183,5,0.8099733389258673,COMPLETE
31,0.655444247607204,2025-08-04 14:21:26.796702,2025-08-04 14:21:28.217235,0 days 00:00:01.420533,0.06087824221651854,5,0.8279064583979264,COMPLETE
33,0.6554044183564729,2025-08-04 14:21:29.641274,2025-08-04 14:21:31.015148,0 days 00:00:01.373874,0.06102588189026095,5,0.8645313795648328,COMPLETE
45,0.6550571496933518,2025-08-04 14:21:46.952171,2025-08-04 14:21:48.640298,0 days 00:00:01.688127,0.027612977995183835,5,0.8301810323519011,COMPLETE
23,0.6550185785227616,2025-08-04 14:21:12.792886,2025-08-04 14:21:14.696732,0 days 00:00:01.903846,0.04429555238665912,5,0.8189733524840634,COMPLETE
14,0.6549236956698703,2025-08-04 14:20:52.578485,2025-08-04 14:20:54.394125,0 days 00:00:01.815640,0.11669433175848182,5,0.8114620103454219,COMPLETE
13,0.6549097350546271,2025-08-04 14:20:50.736387,2025-08-04 14:20:52.576661,0 days 00:00:01.840274,0.05630785806532898,5,0.8468366944444554,COMPLETE
38,0.6546867479367298,2025-08-04 14:21:36.623835,2025-08-04 14:21:38.140506,0 days 00:00:01.516671,0.1404159180221441,5,0.8588346265942468,COMPLETE
29,0.6545530955688472,2025-08-04 14:21:23.400499,2025-08-04 14:21:25.040692,0 days 00:00:01.640193,0.03872139621007607,6,0.8672619748414506,COMPLETE
36,0.6545435915184018,2025-08-04 14:21:33.843054,2025-08-04 14:21:35.229305,0 days 00:00:01.386251,0.0722826107713534,5,0.8385951595902434,COMPLETE
5,0.6545272247716719,2025-08-04 14:20:39.242856,2025-08-04 14:20:40.547755,0 days 00:00:01.304899,0.09491472369434828,5,0.8739082174261938,COMPLETE
41,0.6544605533576885,2025-08-04 14:21:41.028920,2025-08-04 14:21:42.749778,0 days 00:00:01.720858,0.04318999150927691,5,0.8277406946929822,COMPLETE
